"Title","Date","Href","Location"
"Fierce Females strategy session","Tuesday, February 27 · 10:30am - 2pm GMT","https://www.eventbrite.co.uk/e/fierce-females-strategy-session-tickets-811595452847?aff=ebdssbdestsearch","Portsmouth"
"SEO MASTERY: HOW TO SKYROCKET SITE TRAFFIC","Wednesday, February 21 · 7 - 8am PST","https://www.eventbrite.com/e/seo-mastery-how-to-skyrocket-site-traffic-tickets-844099082077?aff=ebdssbdestsearch","Portsmouth"
"Knowledge Exchange Networking - An Introduction to Knowledge Exchange","Wed, 28 Feb 2024 08:30 - 10:30 GMT","https://www.eventbrite.co.uk/e/knowledge-exchange-networking-an-introduction-to-knowledge-exchange-tickets-761068615717?aff=ebdssbdestsearch","Portsmouth"
"Portsmouth News Business Excellence Awards 2024","Starts on Fri, 23 Feb 2024 18:45 GMT","https://www.eventbrite.co.uk/e/portsmouth-news-business-excellence-awards-2024-tickets-772898589487?aff=ebdssbdestsearch","Portsmouth"
"CCIXR Tour","Thu, 29 Feb 2024 14:00 - 15:00 GMT","https://www.eventbrite.co.uk/e/ccixr-tour-tickets-838793001447?aff=ebdssbdestsearch","Portsmouth"
"The Girls' Network     BE YOU PORTSMOUTH Celebration event","Wed, 6 Mar 2024 16:00 - 17:30 GMT","https://www.eventbrite.co.uk/e/the-girls-network-be-you-portsmouth-celebration-event-tickets-803193993857?aff=ebdssbdestsearch","Portsmouth"
"Networking at by The Beach in Portsmouth","Monday, April 22 · 5:30 - 7:30pm GMT+1","https://www.eventbrite.co.uk/e/networking-at-by-the-beach-in-portsmouth-tickets-810545422177?aff=ebdssbdestsearch","Portsmouth"
"Portsmouth Advanced Endoscopy Symposium 2024","Sun, 12 May 2024 08:00 - Tue, 14 May 2024 19:00 GMT+1","https://www.eventbrite.co.uk/e/portsmouth-advanced-endoscopy-symposium-2024-tickets-784657901907?aff=ebdssbdestsearch","Portsmouth"
"The Inspirational Women of Portsmouth Awards 2024","Fri, 15 Mar 2024 18:00 - Sat, 16 Mar 2024 00:00 GMT","https://www.eventbrite.co.uk/e/the-inspirational-women-of-portsmouth-awards-2024-tickets-776246653637?aff=ebdssbdestsearch","Portsmouth"
"LinkedIn Local Portsmouth #14","Thu, 22 Feb 2024 18:00 - 20:30 GMT","https://www.eventbrite.co.uk/e/linkedin-local-portsmouth-14-tickets-716094817877?aff=ebdssbdestsearch","Portsmouth"
"Evening Networking at by The Beach in Portsmouth","Monday, May 20 · 5:30 - 7pm GMT+1","https://www.eventbrite.co.uk/e/evening-networking-at-by-the-beach-in-portsmouth-tickets-803859454267?aff=ebdssbdestsearch","Portsmouth"
"Portsmouth Property Connect","Tue, 27 Feb 2024 19:00 - 22:00 GMT","https://www.eventbrite.com/e/portsmouth-property-connect-tickets-259489589347?aff=ebdssbdestsearch","Portsmouth"
"Introduction to Employability & Graduate Outcomes in HE","Fri, 17 May 2024 09:00 - 11:00 GMT+1","https://www.eventbrite.co.uk/e/introduction-to-employability-graduate-outcomes-in-he-tickets-700194379237?aff=ebdssbdestsearch","Portsmouth"
"UoP OPEN MIC - Portsmouth Literature Map - FREE event","Wed, 28 Feb 2024 15:30 - 17:00 GMT","https://www.eventbrite.co.uk/e/uop-open-mic-portsmouth-literature-map-free-event-tickets-838509242717?aff=ebdssbdestsearch","Portsmouth"
"The Marketing Meetup IRL: Portsmouth","Thu, 29 Feb 2024 18:00 - 20:00 GMT","https://www.eventbrite.co.uk/e/the-marketing-meetup-irl-portsmouth-tickets-810101173417?aff=ebdssbdestsearch","Portsmouth"
"Teach Portsmouth Jobs and Opportunities Fair 2024","Mon, 26 Feb 2024 10:00 - 14:00 GMT","https://www.eventbrite.co.uk/e/teach-portsmouth-jobs-and-opportunities-fair-2024-tickets-815242651717?aff=ebdssbdestsearch","Portsmouth"
"Portsmouth Careers Fair","Fri, 19 Apr 2024 10:00 - 14:00 GMT+1","https://www.eventbrite.co.uk/e/portsmouth-careers-fair-tickets-637911840487?aff=ebdssbdestsearch","Portsmouth"
"Community Conversation - Influence Healthcare and Social Work Education","Wednesday, March 20 · 2 - 4pm GMT","https://www.eventbrite.co.uk/e/community-conversation-influence-healthcare-and-social-work-education-tickets-808811485927?aff=ebdssbdestsearch","Portsmouth"
"Batala Portsmouth at The Clubhouse","Fri, 8 Mar 2024 19:00 - 23:00 GMT","https://www.eventbrite.co.uk/e/batala-portsmouth-at-the-clubhouse-tickets-820118666007?aff=ebdssbdestsearch","Portsmouth"
"Improver Club Night: Friday 23 February 2024","Fri, 23 Feb 2024 19:00 - 21:00 GMT","https://www.eventbrite.co.uk/e/improver-club-night-friday-23-february-2024-tickets-756104176947?aff=ebdssbdestsearch","Portsmouth"
"March Against Racism - Transport from Portsmouth","Sat, 16 Mar 2024 08:30 - 19:30 GMT","https://www.eventbrite.co.uk/e/march-against-racism-transport-from-portsmouth-tickets-813556087157?aff=ebdssbdestsearch","Portsmouth"
"FIM Expo Portsmouth","Wed, 6 Mar 2024 09:00 - 16:00 GMT","https://www.eventbrite.com/e/fim-expo-portsmouth-tickets-732833453587?aff=ebdssbdestsearch","Portsmouth"
"Fierce Females strategy session","Tuesday, February 27 · 10:30am - 2pm GMT","https://www.eventbrite.co.uk/e/fierce-females-strategy-session-tickets-811595452847?aff=ebdssbdestsearch","Portsmouth"
"Frame Drums & The Art of Persian Rhythm (online workshop/all levels)","Sunday, March 24 · 10am - 1pm PDT","https://www.eventbrite.com/e/frame-drums-the-art-of-persian-rhythm-online-workshopall-levels-tickets-830512002757?aff=ebdssbdestsearch","Portsmouth"
"Improver Club Night: Friday 23 February 2024","Fri, 23 Feb 2024 19:00 - 21:00 GMT","https://www.eventbrite.co.uk/e/improver-club-night-friday-23-february-2024-tickets-756104176947?aff=ebdssbdestsearch","Portsmouth"
"Improver Club Night: Friday 01 March 2024","Fri, 1 Mar 2024 19:00 - 21:00 GMT","https://www.eventbrite.co.uk/e/improver-club-night-friday-01-march-2024-tickets-773657027997?aff=ebdssbdestsearch","Portsmouth"
"Portsmouth Means Business Expo","Mon, 10 Jun 2024 16:00 - 18:30 GMT+1","https://www.eventbrite.co.uk/e/portsmouth-means-business-expo-tickets-825038140287?aff=ebdssbdestsearch","Portsmouth"
"FIM Expo Portsmouth","Wed, 6 Mar 2024 09:00 - 16:00 GMT","https://www.eventbrite.com/e/fim-expo-portsmouth-tickets-732833453587?aff=ebdssbdestsearch","Portsmouth"
"Quiz in aid of Amnesty International (Portsmouth Branch)","Fri, 1 Mar 2024 19:00 - 20:30 GMT","https://www.eventbrite.co.uk/e/quiz-in-aid-of-amnesty-international-portsmouth-branch-tickets-806376914057?aff=ebdssbdestsearch","Portsmouth"
"PGR Catch-Up - Effective LinkedIn Profiles (IN-PERSON)","Mon, 22 Apr 2024 11:00 - 12:00 GMT+1","https://www.eventbrite.co.uk/e/pgr-catch-up-effective-linkedin-profiles-in-person-tickets-755336119667?aff=ebdssbdestsearch","Portsmouth"
"Paranormal & Mediumship with Celebrity Psychic Marcus Starr @ Portsmouth","Fri, 14 Jun 2024 19:00 - Sat, 15 Jun 2024 00:30 GMT+1","https://www.eventbrite.co.uk/e/paranormal-mediumship-with-celebrity-psychic-marcus-starr-portsmouth-tickets-733668290607?aff=ebdssbdestsearch","Portsmouth"
"PGR Catch-Up - Preparing for the Academic Job Market (IN-PERSON)","Tue, 7 May 2024 09:00 - 10:00 GMT+1","https://www.eventbrite.co.uk/e/pgr-catch-up-preparing-for-the-academic-job-market-in-person-tickets-748606661677?aff=ebdssbdestsearch","Portsmouth"
"Portsmouth Chilli and Gin Festival 2024 - SATURDAY","Sat, 4 May 2024 12:00 - 20:00 GMT+1","https://www.eventbrite.co.uk/e/portsmouth-chilli-and-gin-festival-2024-saturday-tickets-679253013047?aff=ebdssbdestsearch","Portsmouth"
"10th Anniversary Celebration of the Female Entrepreneurs Network!","Fri, 8 Mar 2024 12:00 - 14:00 GMT","https://www.eventbrite.co.uk/e/10th-anniversary-celebration-of-the-female-entrepreneurs-network-tickets-744097003167?aff=ebdssbdestsearch","Portsmouth"
"Portsmouth Chilli and Gin Festival 2024 - Cocktail Masterclasses","Sat, 4 May 2024 13:30 - Sun, 5 May 2024 18:30 GMT+1","https://www.eventbrite.co.uk/e/portsmouth-chilli-and-gin-festival-2024-cocktail-masterclasses-tickets-833178197417?aff=ebdssbdestsearch","Portsmouth"
"UoPen: An introduction to open research at the UoP for HSS PGRs (IN-PERSON)","Mon, 26 Feb 2024 11:00 - 12:00 GMT","https://www.eventbrite.co.uk/e/uopen-an-introduction-to-open-research-at-the-uop-for-hss-pgrs-in-person-tickets-807866950797?aff=ebdssbdestsearch","Portsmouth"
"START in AI: Safety, Trust, Acceptance, Responsibility & Transparency in AI","Mon, 4 Mar 2024 09:00 - 17:00 GMT","https://www.eventbrite.co.uk/e/start-in-ai-safety-trust-acceptance-responsibility-transparency-in-ai-registration-827151712037?aff=ebdssbdestsearch","Portsmouth"
"Research Culture  Drop-In and Induction Catch-Up (IN-PERSON)","Thu, 14 Mar 2024 11:00 - 12:00 GMT","https://www.eventbrite.co.uk/e/research-culture-drop-in-and-induction-catch-up-in-person-tickets-711232444387?aff=ebdssbdestsearch","Portsmouth"
"PGR Catch-Up - Using Canva to present your research (IN-PERSON)","Wed, 20 Mar 2024 12:00 - 14:00 GMT","https://www.eventbrite.co.uk/e/pgr-catch-up-using-canva-to-present-your-research-in-person-tickets-748572228687?aff=ebdssbdestsearch","Portsmouth"
"Portsmouth Chilli and Gin Festival 2024 - WEEKEND TICKETS","Sat, 4 May 2024 12:00 - Sun, 5 May 2024 20:00 GMT+1","https://www.eventbrite.co.uk/e/portsmouth-chilli-and-gin-festival-2024-weekend-tickets-tickets-694795781887?aff=ebdssbdestsearch","Portsmouth"
"Portsmouth Careers Fair","Wed, 21 Aug 2024 10:00 - 14:00 GMT+1","https://www.eventbrite.co.uk/e/portsmouth-careers-fair-tickets-637913806367?aff=ebdssbdestsearch","Portsmouth"
"Portsmouth Chilli and Gin Festival 2024 - SUNDAY","Sun, 5 May 2024 12:00 - 20:00 GMT+1","https://www.eventbrite.co.uk/e/portsmouth-chilli-and-gin-festival-2024-sunday-tickets-679582699147?aff=ebdssbdestsearch","Portsmouth"
"In Conversation: Melanie Jackson & University of Sussex","Wed, 13 Mar 2024 18:00 - 20:00 GMT","https://www.eventbrite.co.uk/e/in-conversation-melanie-jackson-university-of-sussex-tickets-802933835717?aff=ebdssbdestsearch","Portsmouth"
"Meaningful Student Voice & Co-Designing","Fri, 28 Jun 2024 09:00 - 11:00 GMT+1","https://www.eventbrite.co.uk/e/meaningful-student-voice-co-designing-tickets-699659298797?aff=ebdssbdestsearch","Portsmouth"
